LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME
32.80212778,32.80212778,-87.95875278,-87.95875278
33.36948889,33.36948889,-86.23785,-86.23785
31.61683333,31.61683333,-87.25696667,-87.25696667
33.12975833,33.12975833,-85.85993056,-85.85993056
34.74339167,34.74339167,-86.05028611,-86.05028611
34.79075,34.79075,-87.0895,-87.0895
31.393575,31.393575,-88.03842778,-88.03842778
32.80740556,32.80740556,-86.79234167,-86.79234167
30.60253889,30.60253889,-88.22516667,-88.22516667
30.89222222,30.89222222,-88.27081111,-88.27081111
32.54316944,32.54316944,-86.51496667,-86.51496667
32.52289722,32.52289722,-85.26249167,-85.26249167
32.59497222,32.59497222,-87.59230556,-87.59230556
33.63825833,33.63825833,-85.82965,-85.82965
33.44654444,33.44654444,-86.602175,-86.602175
31.725175,31.725175,-85.81120556,-85.81120556
34.27222778,34.27222778,-85.78463056,-85.78463056
30.69211944,30.69211944,-88.06313611,-88.06313611
34.76326944,34.76326944,-86.74956667,-86.74956667
31.72708333,31.72708333,-85.60228056,-85.60228056
33.59986944,33.59986944,-86.56931111,-86.56931111
34.79928333,34.79928333,-87.13911944,-87.13911944
34.10298333,34.10298333,-86.26093611,-86.26093611
34.86699444,34.86699444,-86.45536389,-86.45536389
33.92352222,33.92352222,-87.39382778,-87.39382778
34.74972778,34.74972778,-86.67482222,-86.67482222
34.93388333,34.93388333,-87.76369722,-87.76369722
32.46215556,32.46215556,-85.60700556,-85.60700556
33.32659444,33.32659444,-86.95660556,-86.95660556
32.34969722,32.34969722,-86.96529167,-86.96529167
31.78958889,31.78958889,-86.6285,-86.6285
34.32457778,34.32457778,-85.97091667,-85.97091667
34.36127778,34.36127778,-86.40188333,-86.40188333
33.238375,33.238375,-85.64159444,-85.64159444
33.60333611,33.60333611,-85.83230556,-85.83230556
33.27134722,33.27134722,-86.80994167,-86.80994167
33.27745278,33.27745278,-87.53413889,-87.53413889
34.73899722,34.73899722,-86.60308056,-86.60308056
34.13234444,34.13234444,-86.12195,-86.12195
31.42590278,31.42590278,-85.61881944,-85.61881944
32.44382222,32.44382222,-85.68995278,-85.68995278
32.37816944,32.37816944,-86.17315833,-86.17315833
34.18365,34.18365,-86.78503889,-86.78503889
34.74933611,34.74933611,-86.45677778,-86.45677778
33.44256389,33.44256389,-86.29392778,-86.29392778
34.83590556,34.83590556,-86.57125,-86.57125
34.80413889,34.80413889,-85.86586667,-85.86586667
31.79070833,31.79070833,-87.50910833,-87.50910833
32.47085833,32.47085833,-85.00215,-85.00215
31.12947222,31.12947222,-88.00988333,-88.00988333
33.45192778,33.45192778,-86.19374722,-86.19374722
33.31057222,33.31057222,-86.73528056,-86.73528056
31.14194444,31.14194444,-86.69310833,-86.69310833
33.12325556,33.12325556,-86.84493333,-86.84493333
32.99447778,32.99447778,-87.05365278,-87.05365278
30.76041389,30.76041389,-88.15148889,-88.15148889
33.81637778,33.81637778,-86.59953056,-86.59953056
32.30576944,32.30576944,-86.23905556,-86.23905556
33.20165,33.20165,-88.20460556,-88.20460556
